trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
30,0,30,0,107.08488429999852,108.08380639999814,108.08380639999814,down,1,0.6014602999966883,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
31,0,31,0,108.71675889999824,109.71604379999917,109.71604379999917,down,1,0.7161575999998604,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
32,0,32,0,110.44846999999936,111.4479562000015,111.4479562000015,down,1,0.7082936999977392,-3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
33,0,33,0,112.18025919999855,113.17948830000023,113.19606719999865,down,1,0.7320551999982854,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
34,0,34,0,113.92860220000148,114.9278759000008,114.9278759000008,up,1,0.49301939999713795,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
35,0,35,0,115.4438728999994,116.44301369999812,116.44301369999812,up,1,0.7633595999977842,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
36,0,36,0,117.2255679000009,118.22477919999801,118.24149350000152,down,1,0.6670023999977275,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
37,0,37,0,118.92399840000144,119.92314690000057,119.9396960999984,down,1,0.6331097999973281,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
38,0,38,0,120.57229290000032,121.57139199999801,121.57139199999801,up,0,0.8719257999982801,1,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
39,0,39,0,122.47080239999923,123.46988359999887,123.4865753999984,up,1,0.5398978999983228,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
40,0,40,0,124.03589809999903,125.03516899999886,125.05169709999973,up,1,0.5774481999978889,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
41,0,41,0,125.6340326999998,126.63344349999898,126.63344349999898,up,1,0.6235903999986476,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
42,0,42,0,127.28275880000001,128.28186939999796,128.28186939999796,up,1,0.6130768999973952,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
43,0,43,0,128.91477419999865,129.91398290000143,129.9304411000012,down,1,0.5453600999971968,-2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
