pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
150,v,10,1,41,1,,,,,157.83316070001456,158.83244060000288,158.83244060000288,158.83244060000288,158.83244060000288,158.83244060000288,159.83216180000454,159.83216180000454,v,1,0.40964090000488795,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,10,2,42,2,,,,,160.26518899999792,161.26395950000733,161.26395950000733,161.26395950000733,161.26395950000733,161.28062060000957,162.26314359999378,162.26314359999378,c,1,0.4399785999848973,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,10,3,43,3,,,,,162.7294586999924,163.72860289999517,163.72860289999517,163.72860289999517,163.72860289999517,163.72860289999517,164.72733330001938,164.72733330001938,z,1,0.31101470001158305,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,11,0,44,0,,,,,165.0607755999954,166.05966820000322,166.05966820000322,166.05966820000322,166.05966820000322,166.0762045000156,167.05862820000038,167.05862820000038,x,1,0.5686207999824546,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,11,1,45,1,,,,,167.65827760001412,168.65727500000503,168.65727500000503,168.65727500000503,168.65727500000503,168.67378949999693,169.65645470001618,169.65645470001618,v,1,0.4159614999953192,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,11,2,46,2,,,,,170.089332500007,171.08795310001005,171.08795310001005,171.08795310001005,171.08795310001005,171.10458800001652,172.0869498999964,172.0869498999964,c,1,0.27238730000681244,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,11,3,47,3,,,,,172.38728399999673,173.3862122000137,173.3862122000137,173.3862122000137,173.3862122000137,173.4026487999945,174.38518290000502,174.38518290000502,z,1,0.40489289999823086,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,,,,,0,0,0,3,174.96793330000946,175.81746099999873,175.81746099999873,175.81746099999873,175.81746099999873,175.96711420000065,176.81623850000324,176.81623850000324,z,1,0.6141403999936301,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,,,,,0,1,1,3,177.44878609999432,178.44809789999272,178.44809789999272,178.44809789999272,178.44809789999272,178.44809789999272,179.44723839999642,179.44723839999642,z,1,0.38948479999089614,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,,,,,0,2,2,2,179.8633943000168,180.86260890000267,180.86260890000267,180.86260890000267,180.86260890000267,180.86260890000267,181.8615376999951,181.8615376999951,c,1,0.6081049999920651,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,,,,,0,3,3,2,182.49439050001092,183.49354900000617,183.49354900000617,183.49354900000617,183.49354900000617,183.49354900000617,184.49252530001104,184.49252530001104,c,1,0.4121877999859862,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,1,0,4,1,184.92514690000098,185.92433740000706,185.92433740000706,185.92433740000706,185.92433740000706,185.92433740000706,186.92362069999217,186.92362069999217,v,1,0.504709599976195,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,1,1,5,1,187.45599750001566,188.4553673999908,188.4553673999908,188.4553673999908,188.4553673999908,188.4553673999908,189.45420320000267,189.45420320000267,v,1,0.5069550999905914,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,1,2,6,1,189.9876337000169,190.98637540001073,190.98637540001073,190.98637540001073,190.98637540001073,191.00301020001643,191.98539040001924,191.98539040001924,v,1,0.5199332000047434,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,,,,,1,3,7,2,192.5350225000002,193.5340261000092,193.5340261000092,193.5340261000092,193.5340261000092,193.5506868000084,194.5323076999921,194.5323076999921,c,1,0.6678100000135601,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,,,,,2,0,8,2,195.23221790001844,196.23137940000743,196.23137940000743,196.23137940000743,196.23137940000743,196.23137940000743,197.2305572000041,197.2305572000041,c,1,0.9971906999999192,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,,,,,2,1,9,3,198.24650120001752,199.245665800001,199.245665800001,199.245665800001,199.245665800001,199.26160630001687,200.24459560000105,200.24459560000105,z,1,0.6478274999826681,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,,,,,2,2,10,0,200.91051980000339,201.9095648000075,201.9095648000075,201.9095648000075,201.9095648000075,201.9095648000075,202.9086227999942,202.9086227999942,x,1,0.7704182000015862,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,2,3,11,1,203.70795340000768,204.7069055000029,204.7069055000029,204.7069055000029,204.7069055000029,204.7069055000029,205.70581509999465,205.70581509999465,v,1,0.5726778999960516,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,,,,,3,0,12,0,206.30543840001337,207.3045219000196,207.3045219000196,207.3045219000196,207.3045219000196,207.3045219000196,208.30379820000962,208.30379820000962,x,1,0.4609492000017781,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,,,,,3,1,13,2,208.78643830001238,209.78557840001304,209.78557840001304,209.78557840001304,209.78557840001304,209.78557840001304,210.7848453000188,210.7848453000188,c,1,1.3863389000180177,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,,,,,3,2,14,2,212.2001750000054,213.19915990001755,213.19915990001755,213.19915990001755,213.19915990001755,213.19915990001755,214.19827920000535,214.19827920000535,c,1,1.2563102999993134,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,,,,,3,3,15,3,215.48016790000838,216.4794142000028,216.4794142000028,216.4794142000028,216.4794142000028,216.4794142000028,217.47847440000623,217.47847440000623,z,1,0.7390267000009771,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,4,0,16,1,218.24460209999233,219.24346490000607,219.24346490000607,219.24346490000607,219.24346490000607,219.24346490000607,220.24250399999437,220.24250399999437,v,1,0.4698545999999624,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,,,,,4,1,17,0,220.74235469999257,221.74087720000534,221.74087720000534,221.74087720000534,221.74087720000534,221.74087720000534,222.74018379999325,222.74018379999325,x,1,0.5175776999967638,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,,,,,4,2,18,0,223.28981499999645,224.28875070001232,224.28875070001232,224.28875070001232,224.28875070001232,224.28875070001232,225.28782180001144,225.28782180001144,x,1,0.5449443999968935,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,4,3,19,1,225.85413419999531,226.85299889999442,226.85299889999442,226.85299889999442,226.85299889999442,226.85299889999442,227.8522414000181,227.8522414000181,v,1,0.45097570001962595,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,,,,,5,0,20,1,228.3351468000037,229.3340167000133,229.3340167000133,229.3340167000133,229.3340167000133,229.35067010001512,230.33310069999425,230.33310069999425,v,1,0.4533804999955464,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,,,,,5,1,21,0,230.81622219999554,231.81510000000708,231.81510000000708,231.81510000000708,231.81510000000708,231.81510000000708,232.81399960001,232.81399960001,x,1,0.4204075000016019,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
