trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.05005759777690844,0.000600200000917539,102.75038529999438,102.75038529999438,103.04998209999758,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.05008642154186699,0.0007915000023785979,105.14821480002138,105.14821480002138,105.44759210001212,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.050115261903894974,0.0011928000021725893,107.56278110001585,107.56278110001585,107.86228570001549,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.050115261903894974,0.0007443999929819256,109.92704609999782,109.92704609999782,110.22664950002218,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.050115261903894974,0.0007410999969579279,112.3415534000087,112.3415534000087,112.64108570001554,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.050144118872549194,0.0007227000023704022,114.68905580000137,114.68905580000137,114.98890830000164,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05017299245739194,0.0008008999866433442,117.1373534000013,117.1373534000013,117.43676630000118,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.05017299245739194,0.0010148999863304198,119.60140909999609,119.60140909999609,119.90090490001603,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05017299245739194,0.0007899999909568578,122.04904450001777,122.04904450001777,122.34876150000491,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.05020188266799102,0.000766399985877797,124.4469588000211,124.4469588000211,124.74640880001243,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.05023078951391974,0.0007732000085525215,126.82818609999958,126.82818609999958,127.12770080001792,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050259713004756915,0.0009117999870795757,129.24255940000876,129.24255940000876,129.54212290002033,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.05028865315008689,0.0008014000195544213,131.62371610000264,131.62371610000264,131.92318610000075,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.05028865315008689,0.0008575000101700425,133.95480480001424,133.95480480001424,134.25426390001667,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.05028865315008689,0.0010088999988511205,136.369197299995,136.369197299995,136.66858260001754,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,down,0.005,db,0.050259713004756915,0.0007388000085484236,138.7671238000039,138.7671238000039,139.06648579999455,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,down,0.005,db,0.050259713004756915,0.0007847000088077039,141.16483370002243,141.16483370002243,141.46439760000794,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.005,db,0.050259713004756915,0.0008376000041607767,143.5625893000106,143.5625893000106,143.86210779999965,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.005,db,0.05023078951391974,0.0008801000076346099,145.96039590000873,145.96039590000873,146.2599783000187,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.005,db,0.05023078951391974,0.0008243999909609556,148.45800189999864,148.45800189999864,148.7575323000201,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,down,0.005,db,0.05023078951391974,0.0007495000027120113,150.8724911000172,150.8724911000172,151.17203690001043,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,0.005,db,0.050259713004756915,0.0007382000039797276,153.25355870000203,153.25355870000203,153.5532233999984,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,up,0.005,db,0.050259713004756915,0.0007382000039797276,155.6677769999951,155.6677769999951,155.9675632000144,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,up,0.005,db,0.050259713004756915,0.0008230999810621142,158.04908230001456,158.04908230001456,158.3488786999951,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.05023078951391974,0.0007928000122774392,160.44694190000882,160.44694190000882,160.74631310001132,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.005,db,0.05023078951391974,0.0007643999997526407,162.77811420001672,162.77811420001672,163.07766390001052,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.05023078951391974,0.0007674999942537397,165.1093819999951,165.1093819999951,165.40882050001528,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.05020188266799102,0.0007854000141378492,167.49051990002044,167.49051990002044,167.7897986000171,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.005,db,0.05023078951391974,0.0007731000077910721,169.92135509999935,169.92135509999935,170.2210232000216,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,0.005,db,0.05023078951391974,0.000823500013211742,172.33602430002065,172.33602430002065,172.63556470000185,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.05023078951391974,0.0008153000089805573,174.78363540000282,174.78363540000282,175.08332600002177,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
