45.8198 	EXP 	fixation: autoDraw = False
45.8198 	EXP 	grating: autoDraw = False
45.8200 	EXP 	window1: recordFrameIntervals = False
46.7959 	EXP 	fixation: autoDraw = True
47.8014 	EXP 	fixation: autoDraw = False
47.8181 	EXP 	grating: autoDraw = True
47.8181 	EXP 	grating: tex = 'sin'
48.1176 	EXP 	grating: autoDraw = False
48.1701 	EXP 	window1: recordFrameIntervals = False
48.1714 	DATA 	Keypress: left
48.1841 	EXP 	fixation: autoDraw = False
48.1841 	EXP 	grating: autoDraw = False
48.1844 	EXP 	window1: recordFrameIntervals = False
49.1617 	EXP 	fixation: autoDraw = True
50.1659 	EXP 	fixation: autoDraw = False
50.1824 	EXP 	grating: autoDraw = True
50.1824 	EXP 	grating: tex = 'sin'
50.4820 	EXP 	grating: autoDraw = False
50.6515 	EXP 	window1: recordFrameIntervals = False
50.6532 	DATA 	Keypress: right
50.6650 	EXP 	fixation: autoDraw = False
50.6650 	EXP 	grating: autoDraw = False
50.6653 	EXP 	window1: recordFrameIntervals = False
51.6432 	EXP 	fixation: autoDraw = True
52.6465 	EXP 	fixation: autoDraw = False
52.6631 	EXP 	grating: autoDraw = True
52.6631 	EXP 	grating: tex = 'sin'
52.9628 	EXP 	grating: autoDraw = False
53.0309 	EXP 	window1: recordFrameIntervals = False
53.0319 	DATA 	Keypress: right
53.0461 	EXP 	fixation: autoDraw = False
53.0461 	EXP 	grating: autoDraw = False
53.0463 	EXP 	window1: recordFrameIntervals = False
54.0221 	EXP 	fixation: autoDraw = True
55.0275 	EXP 	fixation: autoDraw = False
55.0444 	EXP 	grating: autoDraw = True
55.0444 	EXP 	grating: tex = 'sin'
55.3440 	EXP 	grating: autoDraw = False
55.4952 	EXP 	window1: recordFrameIntervals = False
55.4960 	DATA 	Keypress: right
55.5105 	EXP 	fixation: autoDraw = False
55.5105 	EXP 	grating: autoDraw = False
55.5107 	EXP 	window1: recordFrameIntervals = False
56.4863 	EXP 	fixation: autoDraw = True
57.4923 	EXP 	fixation: autoDraw = False
57.5091 	EXP 	grating: autoDraw = True
57.5091 	EXP 	grating: tex = 'sin'
57.7949 	EXP 	window1: recordFrameIntervals = False
57.7962 	DATA 	Keypress: left
57.8087 	EXP 	grating: autoDraw = False
57.8087 	EXP 	fixation: autoDraw = False
57.8087 	EXP 	grating: autoDraw = False
57.8089 	EXP 	window1: recordFrameIntervals = False
58.7859 	EXP 	fixation: autoDraw = True
59.7902 	EXP 	fixation: autoDraw = False
59.8070 	EXP 	grating: autoDraw = True
59.8070 	EXP 	grating: tex = 'sin'
60.1064 	EXP 	grating: autoDraw = False
60.1753 	EXP 	window1: recordFrameIntervals = False
60.1765 	DATA 	Keypress: right
60.1898 	EXP 	fixation: autoDraw = False
60.1898 	EXP 	grating: autoDraw = False
60.1901 	EXP 	window1: recordFrameIntervals = False
