delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,polygon.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,2,6,30,7,290.6285268000029,291.62754920000225,291.62754920000225,291.62754920000225,space,0.5894220999980462,292.64294040000243,292.943576200003,292.943576200003,292.943576200003,250,31,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,2,7,31,8,297.85501040000236,298.8541984000003,298.8541984000003,298.87103970000317,space,1.1841703999998572,300.7684237000009,301.06875610000134,301.06875610000134,301.06875610000134,200,32,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,1000,exp,2,8,32,10,305.9640175000022,306.96325960000104,306.96325960000104,306.9800286000027,space,0.46806089999881806,307.8620627000033,308.1623019000035,308.1623019000035,308.1623019000035,170,33,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,400,unexp,2,9,33,1,313.0580058000014,314.05682460000025,314.05682460000025,314.0735468000021,space,0.6650919999992766,315.1385342000009,315.4386790000026,315.4386790000026,315.4386790000026,380,34,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285]",315.4386790000026,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,1000,exp,2,10,34,4,318.7524946000012,319.7514605000033,319.7514605000033,319.7681188000024,space,0.5208227000002807,320.7003203000037,321.0005463000016,321.0005463000016,321.0005463000016,200,35,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353]",321.0005463000016,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,2,11,35,11,324.8133702000014,325.8125022000022,325.8125022000022,325.8125022000022,space,0.7310847000007925,327.260960600002,327.5652230000014,327.5652230000014,327.5652230000014,150,36,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395]",327.5652230000014,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,3,0,36,8,331.90675300000294,332.90571190000264,332.90571190000264,332.90571190000264,space,0.7330091000003449,334.354477100003,334.65513400000054,334.65513400000054,334.65513400000054,140,37,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.1,1000,exp,3,1,37,3,340.0491572000028,341.0484155000013,341.0484155000013,341.0650796000009,space,0.5332645999988017,341.69785510000077,341.9976196000025,341.9976196000025,341.9976196000025,120,38,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528, 2.729768299999705]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883, 2.729776400003175]",341.9976196000025,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,1000,exp,3,2,38,10,344.7282944000035,345.72753280000325,345.72753280000325,345.7440471000009,space,1.6680474999993748,347.8252434000002,348.12867560000086,348.12867560000086,348.12867560000086,350,39,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528, 2.729768299999705, 5.093620499999815]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883, 2.729776400003175, 5.093627199999901]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,400,unexp,3,3,39,1,353.2205197000003,354.21970710000096,354.21970710000096,354.21970710000096,space,1.4142671999979939,356.05105440000045,356.3524963000018,356.3524963000018,356.3524963000018,200,40,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528, 2.729768299999705, 5.093620499999815, 2.9788595999998506]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883, 2.729776400003175, 5.093627199999901, 2.978864500000782]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,3,4,40,5,359.3316216000021,360.33075760000065,360.33075760000065,360.3473189000033,space,0.6509372999971674,361.7122020000003,362.0129646000023,362.0129646000023,362.0129646000023,200,41,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528, 2.729768299999705, 5.093620499999815, 2.9788595999998506, 3.395211899998685]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883, 2.729776400003175, 5.093627199999901, 2.978864500000782, 3.395219800000632]",362.0129646000023,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,1000,exp,3,5,41,7,365.40929080000205,366.4084134000004,366.4084134000004,366.4250215000029,space,0.97493459999896,367.80666580000036,368.10884590000205,368.10884590000205,368.10884590000205,180,42,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528, 2.729768299999705, 5.093620499999815, 2.9788595999998506, 3.395211899998685, 4.311087199999747]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883, 2.729776400003175, 5.093627199999901, 2.978864500000782, 3.395219800000632, 4.31109590000051]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,3,6,42,11,372.41935710000325,373.41857270000037,373.41857270000037,373.4351620000016,space,0.44510299999819836,374.5838919000031,374.8854766000004,374.8854766000004,374.8854766000004,230,43,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498, 3.5611963999981526, 6.00918410000304, 6.259446600000956, 6.808631399999285, 3.6291319000010844, 5.411265200000344, 5.459218399999372, 7.458298800000193, 5.626578100000188, 3.511324399998557, 3.079325200000312, 6.058932100000675, 8.858124900001712, 4.927632200000517, 5.410349199999473, 5.0606537999992725, 5.076500600000145, 10.221638899998652, 5.11038919999919, 2.030213800000638, 4.911071999998967, 4.895724900001369, 4.894458700000541, 3.313008599998284, 3.8115784999972675, 4.344585799997731, 5.393896099998528, 2.729768299999705, 5.093620499999815, 2.9788595999998506, 3.395211899998685, 4.311087199999747, 8.340669799999887]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603, 3.561203299999761, 6.009193500001857, 6.259452499998588, 6.80864450000081, 3.6291409000004933, 5.411273800000345, 5.4592241999998805, 7.458308899997064, 5.626585400001204, 3.511330099998304, 3.079333099998621, 6.058940300001268, 8.858135200000106, 4.927641400001448, 5.410356500000489, 5.060661600000458, 5.076507499998115, 10.221647499998653, 5.110397399999783, 2.0302220999983547, 4.911079800000152, 4.895737399998325, 4.894466699999612, 3.313017199998285, 3.811585199997353, 4.3445969999993395, 5.393904399999883, 2.729776400003175, 5.093627199999901, 2.978864500000782, 3.395219800000632, 4.31109590000051, 8.340679899996758]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
