delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,polygon.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate
0.7,1000,exp,0,10,10,11,330.5357175,331.5350986,331.5350986,331.5350986,space,0.8356532,333.0999271,333.4020086,333.4020086,333.4020086,333.4020086,200,11,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.4,1000,exp,0,11,11,4,340.4598872,341.4587446,341.4587446,341.4587446,space,1.5568918,343.4401044,,343.7399294,343.7399294,343.7399294,200,12,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.4,400,unexp,1,0,12,1,345.8713515,346.8704445,346.8704445,346.8704445,space,2.2811528,349.5677615,349.8678415,349.8678415,349.8678415,349.8678415,500,13,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.4,1000,exp,1,1,13,10,360.9738596,361.9729782,361.9729782,361.9729782,space,3.2893052,365.6861779,365.9862949,365.9862949,365.9862949,365.9862949,400,14,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,400,unexp,1,2,14,2,369.3664089,370.365265,370.365265,370.3816831,space,2.8581561,373.9452269,374.2462016,374.2462016,374.2462016,374.2462016,500,15,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884, 3.5444295999477617]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706, 3.5444344999850728]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.1,1000,exp,1,3,15,6,377.791675,378.7906004,378.7906004,378.8074144,space,2.5179132,381.438334,381.7378895,381.7378895,381.7378895,381.7378895,200,16,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884, 3.5444295999477617, 2.746562400017865]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706, 3.5444344999850728, 2.7465707000228576]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,1000,exp,1,4,16,11,384.4854077,385.4846044,385.4846044,385.4846044,space,2.5987184,388.8144662,,389.116079,389.116079,389.116079,400,17,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884, 3.5444295999477617, 2.746562400017865, 4.062598999997135]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706, 3.5444344999850728, 2.7465707000228576, 4.062605100043584]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,1000,exp,1,5,17,8,393.177452,394.1765829,394.1765829,394.1765829,space,2.6358049,397.5399137,,397.8398128,397.8398128,397.8398128,350,18,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884, 3.5444295999477617, 2.746562400017865, 4.062598999997135, 4.1607945000287145]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706, 3.5444344999850728, 2.7465707000228576, 4.062605100043584, 4.160800400015432]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,1000,exp,1,6,18,5,402.0027122,403.0023932,403.0023932,403.0023932,space,3.9093318,407.6306435,,407.9333822,407.9333822,407.9333822,400,19,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884, 3.5444295999477617, 2.746562400017865, 4.062598999997135, 4.1607945000287145, 6.142480999988038]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706, 3.5444344999850728, 2.7465707000228576, 4.062605100043584, 4.160800400015432, 6.142485299962573]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.1,1000,exp,1,7,19,3,414.0743713,415.0736934,415.0736934,415.0736934,space,4.0704294,419.2698998,,419.5731789,419.5731789,419.5731789,300,20,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396, 7.059315100021195, 2.129718700016383, 11.10481129999971, 3.379162700031884, 3.5444295999477617, 2.746562400017865, 4.062598999997135, 4.1607945000287145, 6.142480999988038, 5.4759165000286885]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444, 7.059321700013243, 2.129738899995573, 11.104817699990235, 3.3791692000231706, 3.5444344999850728, 2.7465707000228576, 4.062605100043584, 4.160800400015432, 6.142485299962573, 5.475923500023782]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
