trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
46,0,46,0,5,193.9489515000023,193.9489515000023,0.013961600008769892,[0.06481481481481481],[-0.175],[1],[0],[0],[1.3822167000034824],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
47,0,47,0,5,195.34700690000318,195.34700690000318,0.013224599999375641,[-0.32592592592592595],[-0.08981481481481482],[1],[0],[0],[1.4831516000122065],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
48,0,48,0,10,196.8624315000052,196.8624315000052,0.02634579999721609,[0.29907407407407405],[0.3175925925925926],[1],[0],[0],[1.768416700011585],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
49,0,49,0,5,198.65522050000436,198.65522050000436,0.022088300000177696,[0.17962962962962964],[0.0712962962962963],[1],[0],[0],[2.238982400012901],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
50,0,50,0,5,200.90840440000466,200.90840440000466,0.013306100008776411,[-0.36574074074074076],[0.4925925925925926],[1],[0],[0],[1.8489747999992687],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
51,0,51,0,5,202.7845060999971,202.7845060999971,0.018053599997074343,[0.09351851851851851],[0.4027777777777778],[1],[0],[0],[1.5429064000054495],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
52,0,52,0,5,204.34510299999965,204.34510299999965,0.01911130000371486,[0.2657407407407407],[0.23981481481481481],[1],[0],[0],[1.3765423000004375],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
53,0,53,0,5,205.73882800000138,205.73882800000138,0.014498400007141754,[-0.2564814814814815],[0.10833333333333334],[1],[0],[0],[1.5646057999983896],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
54,0,54,0,10,207.33702669999911,207.33702669999911,0.027662100008456036,[-0.23055555555555557],[-0.002777777777777778],[1],[0],[0],[1.5016497000033269],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
55,0,55,0,10,208.87031529999513,208.87031529999513,0.025996600001235493,[0.34074074074074073],[0.2712962962962963],[1],[0],[0],[1.467888800005312],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
56,0,56,0,5,210.3584625999938,210.3584625999938,0.01977959999931045,[0.2712962962962963],[-0.12962962962962962],[1],[0],[0],[1.4919031000026735],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
57,0,57,0,5,211.8672355000017,211.8672355000017,0.013374200003454462,[-0.4101851851851852],[-0.3861111111111111],[1],[0],[0],[1.464087499989546],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
58,0,58,0,5,213.34950349999417,213.34950349999417,0.013903200000640936,[-0.37037037037037035],[-0.35185185185185186],[1],[0],[0],[1.5971478999999817],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
59,0,59,0,5,214.96342780000123,214.96342780000123,0.014263199991546571,[0.2222222222222222],[0.2972222222222222],[1],[0],[0],[1.6317617999884533],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
60,0,60,0,10,216.62728129999596,216.62728129999596,0.02598809999471996,[0.35648148148148145],[0.2518518518518518],[1],[0],[0],[1.5198699000029592],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
61,0,61,0,5,218.1603305000026,218.1603305000026,0.013371199995162897,[0.4666666666666667],[0.12314814814814815],[1],[0],[0],[1.8317335000028834],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
62,0,62,0,5,220.00704419999965,220.00704419999965,0.013574700002209283,[0.46296296296296297],[-0.14629629629629629],[1],[0],[0],[1.7327612999943085],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
63,0,63,0,5,221.75671169999987,221.75671169999987,0.014261699994676746,[0.4351851851851852],[-0.025],[1],[0],[0],[1.2317156000062823],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
64,0,64,0,10,223.02579119999427,223.02579119999427,0.03012979999766685,[-0.40925925925925927],[-0.05925925925925926],[1],[0],[0],[1.44871840000269],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
65,0,65,0,10,224.5039165000053,224.5039165000053,0.026210699987132102,[-0.2935185185185185],[0.42962962962962964],[1],[0],[0],[1.5532486000010977],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
66,0,66,0,10,226.08454999999958,226.08454999999958,0.02576039999257773,[-0.10277777777777777],[0.22685185185185186],[1],[0],[0],[1.2540919999883045],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
67,0,67,0,5,227.35130429999845,227.35130429999845,0.013352499998291023,[0.03796296296296296],[0.4824074074074074],[1],[0],[0],[1.449289399999543],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
68,0,68,0,5,228.81782050000038,228.81782050000038,0.012933000005432405,[-0.3537037037037037],[-0.31666666666666665],[1],[0],[0],[1.582275299995672],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
69,0,69,0,10,230.4321959999943,230.4321959999943,0.025694099997053854,[0.3277777777777778],[0.09814814814814815],[1],[0],[0],[1.8030906999920262],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
70,0,70,0,5,232.24684209999396,232.24684209999396,0.013493399994331412,[-0.004629629629629629],[-0.08333333333333333],[1],[0],[0],[1.3990283000021009],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
71,0,71,0,5,233.66164059999574,233.66164059999574,0.01314710000588093,[0.25],[-0.05648148148148148],[1],[0],[0],[1.1663778999936767],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
72,0,72,0,10,234.86102680000477,234.86102680000477,0.02681569999549538,[0.2740740740740741],[0.4740740740740741],[1],[0],[0],[2.2693517000006977],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
73,0,73,0,5,237.14308270000038,237.14308270000038,0.013854999997420236,[-0.1259259259259259],[0.062037037037037036],[1],[0],[0],[1.4974107000016375],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
74,0,74,0,10,238.67405390000204,238.67405390000204,0.026141800000914373,[-0.2722222222222222],[-0.2111111111111111],[1],[0],[0],[1.8357477999961702],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
75,0,75,0,5,240.52097169999615,240.52097169999615,0.013126000005286187,[-0.4546296296296296],[-0.43425925925925923],[1],[0],[0],[1.8998572000127751],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
76,0,76,0,10,242.45585919999576,242.45585919999576,0.027396299992688,[-0.18611111111111112],[-0.06851851851851852],[1],[0],[0],[1.5177825999999186],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
77,0,77,0,5,243.98659630000475,243.98659630000475,0.014715900004375726,[0.32314814814814813],[-0.037037037037037035],[1],[0],[0],[1.7478438999969512],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
78,0,78,0,10,245.76932380000653,245.76932380000653,0.02928619999147486,[-0.3],[-0.4787037037037037],[1],[0],[0],[1.8831422999937786],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
79,0,79,0,10,247.68481999999494,247.68481999999494,0.029025899988482706,[0.041666666666666664],[-0.2388888888888889],[1],[0],[0],[1.4667024000082165],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
80,0,80,0,5,249.16521789999388,249.16521789999388,0.01389079999353271,[-0.23148148148148148],[-0.23981481481481481],[1],[0],[0],[1.5656076000013854],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
81,0,81,0,5,250.74609559999953,250.74609559999953,0.013337299998966046,[-0.03611111111111111],[0.3592592592592593],[1],[0],[0],[1.4992242000007536],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
82,0,82,0,5,252.2626256999938,252.2626256999938,0.01468189999286551,[0.032407407407407406],[0.40555555555555556],[1],[0],[0],[1.381006299998262],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
83,0,83,0,5,253.66008129999682,253.66008129999682,0.013693499990040436,[0.30648148148148147],[-0.1574074074074074],[1],[0],[0],[1.4992810999974608],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
84,0,84,0,10,255.19269900000654,255.19269900000654,0.025581099995179102,[0.2712962962962963],[-0.3138888888888889],[1],[0],[0],[1.403108099999372],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
85,0,85,0,10,256.6287119000044,256.6287119000044,0.029053100006422028,[-0.09444444444444444],[0.041666666666666664],[1],[0],[0],[1.5334896000131266],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
86,0,86,0,5,258.1723523999972,258.1723523999972,0.013429200000246055,[-0.1],[-0.4462962962962963],[1],[0],[0],[1.798670599993784],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
87,0,87,0,5,259.99288089999754,259.99288089999754,0.017467500001657754,[-0.4527777777777778],[0.03333333333333333],[1],[0],[0],[2.010279399997671],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
88,0,88,0,10,262.03671770000074,262.03671770000074,0.026423099989187904,[0.2574074074074074],[-0.21574074074074073],[1],[0],[0],[1.618886600001133],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
89,0,89,0,5,263.66697390000627,263.66697390000627,0.01342790000489913,[0.46111111111111114],[0.06018518518518518],[1],[0],[0],[1.7652333000005456],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
90,0,90,0,5,265.44862520000606,265.44862520000606,0.013354599999729544,[0.10648148148148148],[0.003703703703703704],[1],[0],[0],[1.4491674000018975],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
91,0,91,0,5,266.9147815000033,266.9147815000033,0.014282799995271489,[0.30648148148148147],[-0.14814814814814814],[1],[0],[0],[1.797814900011872],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
